CODE,SECTOR
0001,HEALTH CARE
0002,HEALTH CARE
0005,TECHNOLOGY
0006,TECHNOLOGY
0007,TELECOMMUNICATIONS & MEDIA
0008,TECHNOLOGY
0010,TECHNOLOGY
0011,UTILITIES
0012,CONSUMER PRODUCTS & SERVICES
0017,TELECOMMUNICATIONS & MEDIA
0018,TECHNOLOGY
0020,TECHNOLOGY
0021,TECHNOLOGY
0022,CONSUMER PRODUCTS & SERVICES
0023,TECHNOLOGY
0024,INDUSTRIAL PRODUCTS & SERVICES
0025,INDUSTRIAL PRODUCTS & SERVICES
0026,TECHNOLOGY
0028,INDUSTRIAL PRODUCTS & SERVICES
0029,TECHNOLOGY
0032,TELECOMMUNICATIONS & MEDIA
0034,TRANSPORTATION & LOGISTICS
0035,TELECOMMUNICATIONS & MEDIA
0036,TECHNOLOGY
0037,CONSUMER PRODUCTS & SERVICES
0038,INDUSTRIAL PRODUCTS & SERVICES
0039,INDUSTRIAL PRODUCTS & SERVICES
0040,TECHNOLOGY
0041,TECHNOLOGY
0043,INDUSTRIAL PRODUCTS & SERVICES
0045,CONSTRUCTION
0048,TRANSPORTATION & LOGISTICS
0049,CONSUMER PRODUCTS & SERVICES
0050,TECHNOLOGY
0051,TECHNOLOGY
0053,FINANCIAL SERVICES
0054,INDUSTRIAL PRODUCTS & SERVICES
0055,INDUSTRIAL PRODUCTS & SERVICES
0056,PROPERTY
0058,INDUSTRIAL PRODUCTS & SERVICES
0059,TELECOMMUNICATIONS & MEDIA
0060,TECHNOLOGY
0064,INDUSTRIAL PRODUCTS & SERVICES
0065,TECHNOLOGY
0066,TECHNOLOGY
0068,TECHNOLOGY
0069,TECHNOLOGY
0070,TECHNOLOGY
0072,INDUSTRIAL PRODUCTS & SERVICES
0074,CONSUMER PRODUCTS & SERVICES
0075,HEALTH CARE
0078,TRANSPORTATION & LOGISTICS
0079,TECHNOLOGY
0080,TRANSPORTATION & LOGISTICS
0081,INDUSTRIAL PRODUCTS & SERVICES
0082,TELECOMMUNICATIONS & MEDIA
0083,TECHNOLOGY
0084,INDUSTRIAL PRODUCTS & SERVICES
0085,TECHNOLOGY
0086,TECHNOLOGY
0089,INDUSTRIAL PRODUCTS & SERVICES
0090,TECHNOLOGY
0091,ENERGY
0092,TELECOMMUNICATIONS & MEDIA
0093,TECHNOLOGY
0094,TECHNOLOGY
0095,CONSUMER PRODUCTS & SERVICES
0096,TELECOMMUNICATIONS & MEDIA
0097,TECHNOLOGY
0098,INDUSTRIAL PRODUCTS & SERVICES
0099,INDUSTRIAL PRODUCTS & SERVICES
0100,INDUSTRIAL PRODUCTS & SERVICES
0101,HEALTH CARE
0102,CONSTRUCTION
0103,TELECOMMUNICATIONS & MEDIA
0104,TECHNOLOGY
0105,INDUSTRIAL PRODUCTS & SERVICES
0106,TECHNOLOGY
0107,TECHNOLOGY
0108,TECHNOLOGY
0109,CONSTRUCTION
0111,TECHNOLOGY
0112,TECHNOLOGY
0113,TECHNOLOGY
0116,CONSUMER PRODUCTS & SERVICES
0117,TECHNOLOGY
0118,ENERGY
0119,TECHNOLOGY
0120,TECHNOLOGY
0122,INDUSTRIAL PRODUCTS & SERVICES
0123,TELECOMMUNICATIONS & MEDIA
0126,TECHNOLOGY
0127,TECHNOLOGY
0128,TECHNOLOGY
0129,TELECOMMUNICATIONS & MEDIA
0131,TECHNOLOGY
0132,TECHNOLOGY
0133,INDUSTRIAL PRODUCTS & SERVICES
0136,CONSUMER PRODUCTS & SERVICES
0138,TECHNOLOGY
0140,CONSUMER PRODUCTS & SERVICES
0143,TECHNOLOGY
0145,TECHNOLOGY
0146,TECHNOLOGY
0147,TELECOMMUNICATIONS & MEDIA
0148,CONSUMER PRODUCTS & SERVICES
0149,INDUSTRIAL PRODUCTS & SERVICES
0150,FINANCIAL SERVICES
0151,INDUSTRIAL PRODUCTS & SERVICES
0152,TECHNOLOGY
0153,CONSUMER PRODUCTS & SERVICES
0154,TECHNOLOGY
0155,HEALTH CARE
0156,TECHNOLOGY
0157,CONSUMER PRODUCTS & SERVICES
0158,CONSUMER PRODUCTS & SERVICES
0159,TELECOMMUNICATIONS & MEDIA
0160,INDUSTRIAL PRODUCTS & SERVICES
0161,INDUSTRIAL PRODUCTS & SERVICES
0162,CONSTRUCTION
0163,HEALTH CARE
0165,TELECOMMUNICATIONS & MEDIA
0166,TECHNOLOGY
0167,INDUSTRIAL PRODUCTS & SERVICES
0168,ENERGY
0169,TECHNOLOGY
0170,CONSUMER PRODUCTS & SERVICES
0171,CONSUMER PRODUCTS & SERVICES
0172,TELECOMMUNICATIONS & MEDIA
0173,TELECOMMUNICATIONS & MEDIA
0174,TECHNOLOGY
0175,INDUSTRIAL PRODUCTS & SERVICES
0176,TECHNOLOGY
0177,INDUSTRIAL PRODUCTS & SERVICES
0178,CONSUMER PRODUCTS & SERVICES
0179,CONSUMER PRODUCTS & SERVICES
0180,CONSUMER PRODUCTS & SERVICES
0181,TECHNOLOGY
0182,HEALTH CARE
0183,CONSUMER PRODUCTS & SERVICES
0185,INDUSTRIAL PRODUCTS & SERVICES
0186,CONSUMER PRODUCTS & SERVICES
0187,INDUSTRIAL PRODUCTS & SERVICES
0188,INDUSTRIAL PRODUCTS & SERVICES
0189,PLANTATION
0190,INDUSTRIAL PRODUCTS & SERVICES
0191,TECHNOLOGY
0192,CONSTRUCTION
0193,ENERGY
0195,TELECOMMUNICATIONS & MEDIA
0196,INDUSTRIAL PRODUCTS & SERVICES
0197,CONSUMER PRODUCTS & SERVICES
0198,CONSTRUCTION
0199,TRANSPORTATION & LOGISTICS
0200,TECHNOLOGY
0201,HEALTH CARE
0202,TECHNOLOGY
0203,TECHNOLOGY
0205,CONSUMER PRODUCTS & SERVICES
0206,CONSTRUCTION
0207,INDUSTRIAL PRODUCTS & SERVICES
0208,TECHNOLOGY
0209,TECHNOLOGY
0210,CONSUMER PRODUCTS & SERVICES
0211,INDUSTRIAL PRODUCTS & SERVICES
0212,CONSUMER PRODUCTS & SERVICES
0213,INDUSTRIAL PRODUCTS & SERVICES
0215,ENERGY
0216,CONSUMER PRODUCTS & SERVICES
0217,INDUSTRIAL PRODUCTS & SERVICES
0218,INDUSTRIAL PRODUCTS & SERVICES
0219,ENERGY
0220,ENERGY
0221,CONSTRUCTION
0222,HEALTH CARE
0223,ENERGY
0225,INDUSTRIAL PRODUCTS & SERVICES
0226,CONSTRUCTION
0227,INDUSTRIAL PRODUCTS & SERVICES
0228,INDUSTRIAL PRODUCTS & SERVICES
0229,CONSUMER PRODUCTS & SERVICES
0230,PROPERTY
0231,INDUSTRIAL PRODUCTS & SERVICES
0232,INDUSTRIAL PRODUCTS & SERVICES
0233,ENERGY
0235,CONSTRUCTION
0236,TECHNOLOGY
0237,CONSTRUCTION
0238,INDUSTRIAL PRODUCTS & SERVICES
0239,CONSUMER PRODUCTS & SERVICES
0240,INDUSTRIAL PRODUCTS & SERVICES
0241,CONSTRUCTION
0242,FINANCIAL SERVICES
0243,HEALTH CARE
0245,CONSTRUCTION
0246,TECHNOLOGY
0247,INDUSTRIAL PRODUCTS & SERVICES
0248,INDUSTRIAL PRODUCTS & SERVICES
0249,TECHNOLOGY
0250,CONSUMER PRODUCTS & SERVICES
0251,TECHNOLOGY
0252,CONSUMER PRODUCTS & SERVICES
0253,TECHNOLOGY
0255,INDUSTRIAL PRODUCTS & SERVICES
0256,HEALTH CARE
0257,INDUSTRIAL PRODUCTS & SERVICES
0258,TECHNOLOGY
0259,TECHNOLOGY
0260,CONSUMER PRODUCTS & SERVICES
0261,INDUSTRIAL PRODUCTS & SERVICES
0262,ENERGY
0263,INDUSTRIAL PRODUCTS & SERVICES
0265,TECHNOLOGY
0266,INDUSTRIAL PRODUCTS & SERVICES
0267,TECHNOLOGY
0268,INDUSTRIAL PRODUCTS & SERVICES
0269,INDUSTRIAL PRODUCTS & SERVICES
0270,INDUSTRIAL PRODUCTS & SERVICES
0271,CONSUMER PRODUCTS & SERVICES
0272,TECHNOLOGY
0273,CONSTRUCTION
0275,TECHNOLOGY
0276,TECHNOLOGY
0277,TECHNOLOGY
0278,TECHNOLOGY
0279,CONSUMER PRODUCTS & SERVICES
0280,CONSUMER PRODUCTS & SERVICES
0281,CONSUMER PRODUCTS & SERVICES
0282,TRANSPORTATION & LOGISTICS
0283,HEALTH CARE
